Wavelength (nm)	Cross section (cm2)
2.8401e+02	6.2764e-20
2.8412e+02	6.5668e-20
2.8424e+02	6.5524e-20
2.8435e+02	6.6940e-20
2.8446e+02	6.7572e-20
2.8457e+02	6.7924e-20
2.8468e+02	6.8408e-20
2.8479e+02	6.9152e-20
2.8491e+02	6.9900e-20
2.8502e+02	6.9788e-20
2.8513e+02	6.9320e-20
2.8524e+02	7.1960e-20
2.8535e+02	7.1320e-20
2.8546e+02	7.2052e-20
2.8558e+02	7.3012e-20
2.8569e+02	7.2884e-20
2.8580e+02	7.3420e-20
2.8591e+02	7.4268e-20
2.8602e+02	7.3444e-20
2.8613e+02	7.6300e-20
2.8625e+02	7.6300e-20
2.8636e+02	7.6564e-20
2.8647e+02	7.5460e-20
2.8658e+02	7.4332e-20
2.8669e+02	7.4160e-20
2.8680e+02	7.3960e-20
2.8691e+02	7.3412e-20
2.8703e+02	7.3244e-20
2.8714e+02	7.1800e-20
2.8725e+02	7.1800e-20
2.8736e+02	7.4440e-20
2.8747e+02	7.3964e-20
2.8758e+02	7.3700e-20
2.8770e+02	7.2980e-20
2.8781e+02	7.3412e-20
2.8792e+02	7.5192e-20
2.8803e+02	7.6528e-20
2.8814e+02	7.6120e-20
2.8825e+02	7.4800e-20
2.8836e+02	7.5064e-20
2.8848e+02	7.5436e-20
2.8859e+02	7.5788e-20
2.8870e+02	7.6560e-20
2.8881e+02	7.7528e-20
2.8892e+02	7.8388e-20
2.8903e+02	7.9428e-20
2.8914e+02	8.1016e-20
2.8925e+02	8.0400e-20
2.8937e+02	8.1072e-20
2.8948e+02	8.2696e-20
2.8959e+02	8.2712e-20
2.8970e+02	8.2360e-20
2.8981e+02	8.3832e-20
2.8992e+02	8.4232e-20
2.9003e+02	8.1176e-20
2.9015e+02	7.9500e-20
2.9026e+02	8.0716e-20
2.9037e+02	8.0892e-20
2.9048e+02	8.0144e-20
2.9059e+02	8.7992e-20
2.9070e+02	9.1820e-20
2.9081e+02	8.5484e-20
2.9092e+02	8.5624e-20
2.9104e+02	9.5544e-20
2.9115e+02	9.1360e-20
2.9126e+02	1.0321e-19
2.9137e+02	9.4496e-20
2.9148e+02	1.0326e-19
2.9159e+02	1.0860e-19
2.9170e+02	1.0760e-19
2.9181e+02	1.0552e-19
2.9192e+02	1.0093e-19
2.9204e+02	9.5716e-20
2.9215e+02	9.8740e-20
2.9226e+02	9.3644e-20
2.9237e+02	9.3028e-20
2.9248e+02	1.0392e-19
2.9259e+02	1.0168e-19
2.9270e+02	9.4240e-20
2.9281e+02	9.7888e-20
2.9293e+02	1.0226e-19
2.9304e+02	1.0022e-19
2.9315e+02	1.0436e-19
2.9326e+02	9.7384e-20
2.9337e+02	9.2808e-20
2.9348e+02	8.7896e-20
2.9359e+02	8.6784e-20
2.9370e+02	8.9580e-20
2.9381e+02	9.3804e-20
2.9392e+02	9.5796e-20
2.9404e+02	9.2852e-20
2.9415e+02	9.0300e-20
2.9426e+02	9.7140e-20
2.9437e+02	9.3180e-20
2.9448e+02	9.6108e-20
2.9459e+02	9.6988e-20
2.9470e+02	9.8000e-20
2.9481e+02	9.8072e-20
2.9492e+02	9.7212e-20
2.9503e+02	9.7732e-20
2.9514e+02	1.0062e-19
2.9526e+02	9.8456e-20
2.9537e+02	1.0567e-19
2.9548e+02	9.5080e-20
2.9559e+02	9.1920e-20
2.9570e+02	8.9940e-20
2.9581e+02	9.2308e-20
2.9592e+02	9.4920e-20
2.9603e+02	9.4680e-20
2.9614e+02	9.9292e-20
2.9625e+02	9.4100e-20
2.9636e+02	1.0897e-19
2.9648e+02	1.1184e-19
2.9659e+02	1.0984e-19
2.9670e+02	1.1260e-19
2.9681e+02	1.1548e-19
2.9692e+02	1.1816e-19
2.9703e+02	1.2344e-19
2.9714e+02	1.2848e-19
2.9725e+02	1.3200e-19
2.9736e+02	1.2672e-19
2.9747e+02	1.3284e-19
2.9758e+02	1.3628e-19
2.9769e+02	1.3648e-19
2.9780e+02	1.3520e-19
2.9792e+02	1.2788e-19
2.9803e+02	1.1748e-19
2.9814e+02	1.1852e-19
2.9825e+02	1.1500e-19
2.9836e+02	1.1500e-19
2.9847e+02	1.2184e-19
2.9858e+02	1.1824e-19
2.9869e+02	1.1552e-19
2.9880e+02	1.1800e-19
2.9891e+02	1.2240e-19
2.9902e+02	1.2600e-19
2.9913e+02	1.2572e-19
2.9924e+02	1.1956e-19
2.9935e+02	1.1500e-19
2.9946e+02	1.2352e-19
2.9957e+02	1.2688e-19
2.9969e+02	1.2236e-19
2.9980e+02	1.2420e-19
2.9991e+02	1.2780e-19
3.0002e+02	1.1828e-19
3.0013e+02	1.2448e-19
3.0024e+02	1.1304e-19
3.0035e+02	1.1680e-19
3.0046e+02	1.2344e-19
3.0057e+02	1.2376e-19
3.0068e+02	1.2156e-19
3.0079e+02	1.2132e-19
3.0090e+02	1.2220e-19
3.0101e+02	1.2292e-19
3.0112e+02	1.2204e-19
3.0123e+02	1.1864e-19
3.0134e+02	1.2664e-19
3.0145e+02	1.3000e-19
3.0156e+02	1.3288e-19
3.0167e+02	1.3672e-19
3.0178e+02	1.3728e-19
3.0190e+02	1.3580e-19
3.0201e+02	1.3972e-19
3.0212e+02	1.4764e-19
3.0223e+02	1.3456e-19
3.0234e+02	1.4064e-19
3.0245e+02	1.4940e-19
3.0256e+02	1.4964e-19
3.0267e+02	1.4744e-19
3.0278e+02	1.4952e-19
3.0289e+02	1.4932e-19
3.0300e+02	1.5900e-19
3.0311e+02	1.5372e-19
3.0322e+02	1.4768e-19
3.0333e+02	1.4920e-19
3.0344e+02	1.5256e-19
3.0355e+02	1.5520e-19
3.0366e+02	1.5616e-19
3.0377e+02	1.5560e-19
3.0388e+02	1.6384e-19
3.0399e+02	1.6032e-19
3.0410e+02	1.5760e-19
3.0421e+02	1.5156e-19
3.0432e+02	1.4956e-19
3.0443e+02	1.5352e-19
3.0454e+02	1.5544e-19
3.0465e+02	1.5000e-19
3.0476e+02	1.5032e-19
3.0487e+02	1.5384e-19
3.0498e+02	1.6408e-19
3.0509e+02	1.5880e-19
3.0520e+02	1.5540e-19
3.0531e+02	1.5356e-19
3.0542e+02	1.5524e-19
3.0553e+02	1.5884e-19
3.0564e+02	1.5212e-19
3.0575e+02	1.5300e-19
3.0586e+02	1.4332e-19
3.0597e+02	1.5416e-19
3.0608e+02	1.5672e-19
3.0619e+02	1.5548e-19
3.0630e+02	1.5740e-19
3.0641e+02	1.5428e-19
3.0652e+02	1.3876e-19
3.0663e+02	1.4848e-19
3.0674e+02	1.5904e-19
3.0685e+02	1.6080e-19
3.0696e+02	1.6236e-19
3.0707e+02	1.6468e-19
3.0718e+02	1.6820e-19
3.0729e+02	1.6972e-19
3.0740e+02	1.6740e-19
3.0751e+02	1.6956e-19
3.0762e+02	1.7572e-19
3.0773e+02	1.6424e-19
3.0784e+02	1.6488e-19
3.0795e+02	1.6360e-19
3.0806e+02	1.6488e-19
3.0817e+02	1.6548e-19
3.0828e+02	1.6148e-19
3.0839e+02	1.6312e-19
3.0850e+02	1.6400e-19
3.0861e+02	1.7280e-19
