Wavelength (nm)	Cross section (cm2)
2.6727e+02	1.8384e-19
2.6738e+02	1.8296e-19
2.6750e+02	1.8200e-19
2.6761e+02	1.8112e-19
2.6772e+02	1.8024e-19
2.6783e+02	1.7936e-19
2.6795e+02	1.7840e-19
2.6806e+02	1.7752e-19
2.6817e+02	1.7664e-19
2.6829e+02	1.7568e-19
2.6840e+02	1.7480e-19
2.6851e+02	1.7392e-19
2.6863e+02	1.7296e-19
2.6874e+02	1.7208e-19
2.6885e+02	1.7120e-19
2.6896e+02	1.7032e-19
2.6908e+02	1.6936e-19
2.6919e+02	1.6848e-19
2.6930e+02	1.6760e-19
2.6942e+02	1.6664e-19
2.6953e+02	1.6576e-19
2.6964e+02	1.6488e-19
2.6975e+02	1.6400e-19
2.6987e+02	1.6304e-19
2.6998e+02	1.6216e-19
2.7009e+02	1.6142e-19
2.7020e+02	1.6070e-19
2.7032e+02	1.5992e-19
2.7043e+02	1.5920e-19
2.7054e+02	1.5849e-19
2.7066e+02	1.5771e-19
2.7077e+02	1.5700e-19
2.7088e+02	1.5628e-19
2.7099e+02	1.5556e-19
2.7111e+02	1.5478e-19
2.7122e+02	1.5407e-19
2.7133e+02	1.5336e-19
2.7144e+02	1.5264e-19
2.7156e+02	1.5186e-19
2.7167e+02	1.5114e-19
2.7178e+02	1.5043e-19
2.7190e+02	1.4965e-19
2.7201e+02	1.4894e-19
2.7212e+02	1.4828e-19
2.7223e+02	1.4762e-19
2.7235e+02	1.4690e-19
2.7246e+02	1.4624e-19
2.7257e+02	1.4558e-19
2.7268e+02	1.4492e-19
2.7280e+02	1.4420e-19
2.7291e+02	1.4354e-19
2.7302e+02	1.4288e-19
2.7313e+02	1.4222e-19
2.7325e+02	1.4150e-19
2.7336e+02	1.4084e-19
2.7347e+02	1.4018e-19
2.7358e+02	1.3952e-19
2.7370e+02	1.3880e-19
2.7381e+02	1.3814e-19
2.7392e+02	1.3748e-19
2.7403e+02	1.3681e-19
2.7415e+02	1.3603e-19
2.7426e+02	1.3531e-19
2.7437e+02	1.3459e-19
2.7448e+02	1.3388e-19
2.7460e+02	1.3310e-19
2.7471e+02	1.3239e-19
2.7482e+02	1.3167e-19
2.7493e+02	1.3095e-19
2.7505e+02	1.3017e-19
2.7516e+02	1.2946e-19
2.7527e+02	1.2875e-19
2.7538e+02	1.2803e-19
2.7550e+02	1.2725e-19
2.7561e+02	1.2653e-19
2.7572e+02	1.2582e-19
2.7583e+02	1.2511e-19
2.7595e+02	1.2433e-19
2.7606e+02	1.2370e-19
2.7617e+02	1.2315e-19
2.7628e+02	1.2260e-19
2.7639e+02	1.2205e-19
2.7651e+02	1.2145e-19
2.7662e+02	1.2090e-19
2.7673e+02	1.2035e-19
2.7684e+02	1.1980e-19
2.7696e+02	1.1920e-19
2.7707e+02	1.1865e-19
2.7718e+02	1.1810e-19
2.7729e+02	1.1755e-19
2.7740e+02	1.1700e-19
2.7752e+02	1.1640e-19
2.7763e+02	1.1585e-19
2.7774e+02	1.1530e-19
2.7785e+02	1.1475e-19
2.7797e+02	1.1415e-19
2.7808e+02	1.1364e-19
2.7819e+02	1.1315e-19
2.7830e+02	1.1265e-19
2.7841e+02	1.1215e-19
2.7853e+02	1.1162e-19
2.7864e+02	1.1112e-19
2.7875e+02	1.1062e-19
2.7886e+02	1.1013e-19
2.7898e+02	1.0959e-19
2.7909e+02	1.0910e-19
2.7920e+02	1.0860e-19
2.7931e+02	1.0810e-19
2.7942e+02	1.0761e-19
2.7954e+02	1.0707e-19
2.7965e+02	1.0658e-19
2.7976e+02	1.0608e-19
2.7987e+02	1.0558e-19
2.7998e+02	1.0509e-19
2.8010e+02	1.0454e-19
2.8021e+02	1.0404e-19
2.8032e+02	1.0354e-19
2.8043e+02	1.0304e-19
2.8054e+02	1.0254e-19
2.8066e+02	1.0200e-19
2.8077e+02	1.0150e-19
2.8088e+02	1.0100e-19
2.8099e+02	1.0050e-19
2.8110e+02	9.9995e-20
2.8122e+02	9.9449e-20
2.8133e+02	9.8949e-20
2.8144e+02	9.8448e-20
2.8155e+02	9.7947e-20
2.8166e+02	9.7447e-20
2.8178e+02	9.6901e-20
2.8189e+02	9.6401e-20
2.8200e+02	9.5900e-20
2.8211e+02	9.5432e-20
2.8222e+02	9.4965e-20
2.8234e+02	9.4455e-20
2.8245e+02	9.3988e-20
2.8256e+02	9.3520e-20
2.8267e+02	9.3052e-20
2.8278e+02	9.2585e-20
2.8289e+02	9.2118e-20
2.8301e+02	9.1608e-20
2.8312e+02	9.1140e-20
2.8323e+02	9.0672e-20
2.8334e+02	9.0205e-20
2.8345e+02	8.9738e-20
2.8357e+02	8.9228e-20
2.8368e+02	8.8760e-20
2.8379e+02	8.8292e-20
2.8390e+02	8.7825e-20
2.8401e+02	8.7360e-20
2.8412e+02	8.6920e-20
2.8424e+02	8.6440e-20
2.8435e+02	8.6000e-20
2.8446e+02	8.5560e-20
2.8457e+02	8.5120e-20
2.8468e+02	8.4680e-20
2.8479e+02	8.4240e-20
2.8491e+02	8.3760e-20
2.8502e+02	8.3320e-20
2.8513e+02	8.2880e-20
2.8524e+02	8.2440e-20
2.8535e+02	8.2000e-20
2.8546e+02	8.1560e-20
2.8558e+02	8.1080e-20
2.8569e+02	8.0640e-20
2.8580e+02	8.0200e-20
2.8591e+02	7.9760e-20
2.8602e+02	7.9326e-20
2.8613e+02	7.8919e-20
2.8625e+02	7.8475e-20
2.8636e+02	7.8068e-20
2.8647e+02	7.7661e-20
2.8658e+02	7.7254e-20
2.8669e+02	7.6847e-20
2.8680e+02	7.6440e-20
2.8691e+02	7.6033e-20
2.8703e+02	7.5589e-20
2.8714e+02	7.5182e-20
2.8725e+02	7.4775e-20
2.8736e+02	7.4368e-20
2.8747e+02	7.3961e-20
2.8758e+02	7.3554e-20
2.8770e+02	7.3110e-20
2.8781e+02	7.2703e-20
2.8792e+02	7.2296e-20
2.8803e+02	7.1898e-20
2.8814e+02	7.1524e-20
2.8825e+02	7.1150e-20
2.8836e+02	7.0776e-20
2.8848e+02	7.0368e-20
2.8859e+02	6.9994e-20
2.8870e+02	6.9620e-20
2.8881e+02	6.9246e-20
2.8892e+02	6.8872e-20
2.8903e+02	6.8498e-20
2.8914e+02	6.8124e-20
2.8925e+02	6.7750e-20
2.8937e+02	6.7342e-20
2.8948e+02	6.6968e-20
2.8959e+02	6.6594e-20
2.8970e+02	6.6220e-20
2.8981e+02	6.5846e-20
2.8992e+02	6.5472e-20
2.9003e+02	6.5104e-20
2.9015e+02	6.4720e-20
2.9026e+02	6.4368e-20
2.9037e+02	6.4016e-20
2.9048e+02	6.3664e-20
2.9059e+02	6.3312e-20
2.9070e+02	6.2960e-20
2.9081e+02	6.2608e-20
2.9092e+02	6.2256e-20
2.9104e+02	6.1872e-20
2.9115e+02	6.1520e-20
2.9126e+02	6.1168e-20
2.9137e+02	6.0816e-20
2.9148e+02	6.0464e-20
2.9159e+02	6.0112e-20
2.9170e+02	5.9760e-20
2.9181e+02	5.9408e-20
2.9192e+02	5.9056e-20
2.9204e+02	5.8682e-20
2.9215e+02	5.8358e-20
2.9226e+02	5.8033e-20
2.9237e+02	5.7708e-20
2.9248e+02	5.7384e-20
2.9259e+02	5.7060e-20
2.9270e+02	5.6735e-20
2.9281e+02	5.6410e-20
2.9293e+02	5.6056e-20
2.9304e+02	5.5732e-20
2.9315e+02	5.5408e-20
2.9326e+02	5.5083e-20
2.9337e+02	5.4758e-20
2.9348e+02	5.4434e-20
2.9359e+02	5.4110e-20
2.9370e+02	5.3785e-20
2.9381e+02	5.3460e-20
2.9392e+02	5.3136e-20
2.9404e+02	5.2792e-20
2.9415e+02	5.2495e-20
2.9426e+02	5.2198e-20
2.9437e+02	5.1901e-20
2.9448e+02	5.1604e-20
2.9459e+02	5.1307e-20
2.9470e+02	5.1010e-20
2.9481e+02	5.0713e-20
2.9492e+02	5.0416e-20
2.9503e+02	5.0119e-20
2.9514e+02	4.9822e-20
2.9526e+02	4.9498e-20
2.9537e+02	4.9201e-20
2.9548e+02	4.8904e-20
2.9559e+02	4.8607e-20
2.9570e+02	4.8310e-20
2.9581e+02	4.8013e-20
2.9592e+02	4.7716e-20
2.9603e+02	4.7427e-20
2.9614e+02	4.7157e-20
2.9625e+02	4.6887e-20
2.9636e+02	4.6618e-20
2.9648e+02	4.6324e-20
2.9659e+02	4.6055e-20
2.9670e+02	4.5785e-20
2.9681e+02	4.5515e-20
2.9692e+02	4.5246e-20
2.9703e+02	4.4977e-20
2.9714e+02	4.4707e-20
2.9725e+02	4.4438e-20
2.9736e+02	4.4168e-20
2.9747e+02	4.3898e-20
2.9758e+02	4.3629e-20
2.9769e+02	4.3360e-20
2.9780e+02	4.3090e-20
2.9792e+02	4.2796e-20
2.9803e+02	4.2533e-20
2.9814e+02	4.2285e-20
2.9825e+02	4.2037e-20
2.9836e+02	4.1790e-20
2.9847e+02	4.1542e-20
2.9858e+02	4.1295e-20
2.9869e+02	4.1048e-20
2.9880e+02	4.0800e-20
2.9891e+02	4.0552e-20
2.9902e+02	4.0305e-20
2.9913e+02	4.0058e-20
2.9924e+02	3.9810e-20
2.9935e+02	3.9562e-20
2.9946e+02	3.9315e-20
2.9957e+02	3.9068e-20
2.9969e+02	3.8798e-20
2.9980e+02	3.8550e-20
2.9991e+02	3.8302e-20
3.0002e+02	3.8059e-20
3.0013e+02	3.7834e-20
3.0024e+02	3.7608e-20
3.0035e+02	3.7382e-20
3.0046e+02	3.7157e-20
3.0057e+02	3.6932e-20
3.0068e+02	3.6706e-20
3.0079e+02	3.6480e-20
3.0090e+02	3.6255e-20
3.0101e+02	3.6030e-20
3.0112e+02	3.5804e-20
3.0123e+02	3.5578e-20
3.0134e+02	3.5353e-20
3.0145e+02	3.5128e-20
3.0156e+02	3.4902e-20
3.0167e+02	3.4676e-20
3.0178e+02	3.4451e-20
3.0190e+02	3.4205e-20
3.0201e+02	3.3982e-20
3.0212e+02	3.3778e-20
3.0223e+02	3.3574e-20
3.0234e+02	3.3371e-20
3.0245e+02	3.3168e-20
3.0256e+02	3.2964e-20
3.0267e+02	3.2760e-20
3.0278e+02	3.2557e-20
3.0289e+02	3.2354e-20
3.0300e+02	3.2150e-20
3.0311e+02	3.1946e-20
3.0322e+02	3.1743e-20
3.0333e+02	3.1540e-20
