Wavelength (nm)	Cross section (cm2)
2.6195e+02	7.3325e-20
2.6206e+02	7.2670e-20
2.6218e+02	7.2010e-20
2.6229e+02	7.1405e-20
2.6240e+02	7.0800e-20
2.6252e+02	7.0140e-20
2.6263e+02	6.9535e-20
2.6274e+02	6.8930e-20
2.6286e+02	6.8270e-20
2.6297e+02	6.7665e-20
2.6308e+02	6.7060e-20
2.6320e+02	6.6400e-20
2.6331e+02	6.5795e-20
2.6342e+02	6.5190e-20
2.6354e+02	6.4530e-20
2.6365e+02	6.3925e-20
2.6376e+02	6.3320e-20
2.6388e+02	6.2660e-20
2.6399e+02	6.2055e-20
2.6410e+02	6.1550e-20
2.6422e+02	6.1010e-20
2.6433e+02	6.0515e-20
2.6444e+02	6.0020e-20
2.6456e+02	5.9480e-20
2.6467e+02	5.8985e-20
2.6478e+02	5.8490e-20
2.6490e+02	5.7950e-20
2.6501e+02	5.7455e-20
2.6512e+02	5.6960e-20
2.6524e+02	5.6420e-20
2.6535e+02	5.5925e-20
2.6546e+02	5.5430e-20
2.6557e+02	5.4935e-20
2.6569e+02	5.4395e-20
2.6580e+02	5.3900e-20
2.6591e+02	5.3405e-20
2.6603e+02	5.2850e-20
2.6614e+02	5.2300e-20
2.6625e+02	5.1750e-20
2.6637e+02	5.1150e-20
2.6648e+02	5.0600e-20
2.6659e+02	5.0050e-20
2.6671e+02	4.9450e-20
2.6682e+02	4.8900e-20
2.6693e+02	4.8350e-20
2.6704e+02	4.7800e-20
2.6716e+02	4.7200e-20
2.6727e+02	4.6650e-20
2.6738e+02	4.6100e-20
2.6750e+02	4.5500e-20
2.6761e+02	4.4950e-20
2.6772e+02	4.4400e-20
2.6783e+02	4.3850e-20
2.6795e+02	4.3250e-20
2.6806e+02	4.2820e-20
2.6817e+02	4.2490e-20
2.6829e+02	4.2130e-20
2.6840e+02	4.1800e-20
2.6851e+02	4.1470e-20
2.6863e+02	4.1110e-20
2.6874e+02	4.0780e-20
2.6885e+02	4.0450e-20
2.6896e+02	4.0120e-20
2.6908e+02	3.9760e-20
2.6919e+02	3.9430e-20
2.6930e+02	3.9100e-20
2.6942e+02	3.8740e-20
2.6953e+02	3.8410e-20
2.6964e+02	3.8080e-20
2.6975e+02	3.7750e-20
2.6987e+02	3.7390e-20
2.6998e+02	3.7060e-20
2.7009e+02	3.6685e-20
2.7020e+02	3.6300e-20
2.7032e+02	3.5880e-20
2.7043e+02	3.5495e-20
2.7054e+02	3.5110e-20
2.7066e+02	3.4690e-20
2.7077e+02	3.4305e-20
2.7088e+02	3.3920e-20
2.7099e+02	3.3535e-20
2.7111e+02	3.3115e-20
2.7122e+02	3.2730e-20
2.7133e+02	3.2345e-20
2.7144e+02	3.1960e-20
2.7156e+02	3.1540e-20
2.7167e+02	3.1155e-20
2.7178e+02	3.0770e-20
2.7190e+02	3.0350e-20
2.7201e+02	2.9975e-20
2.7212e+02	2.9700e-20
2.7223e+02	2.9425e-20
2.7235e+02	2.9125e-20
2.7246e+02	2.8850e-20
2.7257e+02	2.8575e-20
2.7268e+02	2.8300e-20
2.7280e+02	2.8000e-20
2.7291e+02	2.7725e-20
2.7302e+02	2.7450e-20
2.7313e+02	2.7175e-20
2.7325e+02	2.6875e-20
2.7336e+02	2.6600e-20
2.7347e+02	2.6325e-20
2.7358e+02	2.6050e-20
2.7370e+02	2.5750e-20
2.7381e+02	2.5475e-20
2.7392e+02	2.5200e-20
2.7403e+02	0.0000e+00
2.7415e+02	0.0000e+00
2.7426e+02	0.0000e+00
2.7437e+02	0.0000e+00
2.7448e+02	0.0000e+00
2.7460e+02	0.0000e+00
